"saat","tarix1","hefte","kwh"
"8AM",2014-05-16,"пятница","0.346kwh"
"12PM",2014-11-03,"понедельник","40.20kwh"
"1AM",2014-03-14,"пятница","40.17kwh"
"9AM",2014-11-12,"среда","0.154kwh"
"3AM",2014-07-24,"четверг","0.456kwh"
"9AM",2014-01-18,"суббота","41.98kwh"
"9AM",2014-05-30,"пятница","0.262kwh"
"6AM",2014-02-24,"понедельник","1.253kwh"
"12AM",2014-06-10,"вторник","40.61kwh"
"1PM",2014-05-19,"понедельник","0.301kwh"
"7PM",2014-08-12,"вторник","2.182kwh"
"7AM",2014-04-18,"пятница","0.219kwh"
"8AM",2014-02-25,"вторник","0.446kwh"
"10PM",2014-11-13,"четверг","40.18kwh"
"1AM",2014-04-12,"суббота","0.095kwh"
"7AM",2014-07-18,"пятница","2.182kwh"
"8PM",2014-11-23,"воскресенье","0.778kwh"
"3AM",2014-08-31,"воскресенье","0.338kwh"
"1AM",2014-12-09,"вторник","0.191kwh"
"7AM",2014-03-22,"суббота","0.931kwh"
"9PM",2014-07-25,"пятница","40.95kwh"
"10AM",2014-02-26,"среда","0.398kwh"
"11PM",2014-04-13,"воскресенье","0.167kwh"
"1PM",2014-09-13,"суббота","0.412kwh"
"2AM",2014-05-17,"суббота","0.226kwh"
"9PM",2014-04-08,"вторник","0.162kwh"
"7PM",2014-11-25,"вторник","0.745kwh"
"7AM",2014-11-15,"суббота","0.459kwh"
"5PM",2014-03-11,"вторник","0.988kwh"
"1AM",2014-03-17,"понедельник","0.178kwh"
"7PM",2014-11-05,"среда","0.964kwh"
"3PM",2014-05-12,"понедельник","0.333kwh"
"6PM",2014-12-22,"понедельник","1.802kwh"
"4AM",2014-11-26,"среда","0.077kwh"
"6AM",2014-04-28,"понедельник","0.392kwh"
"7AM",2014-05-24,"суббота","0.845kwh"
"1PM",2014-12-05,"пятница","40.37kwh"
"8AM",2014-05-22,"четверг","0.314kwh"
"12PM",2014-03-03,"понедельник","0.396kwh"
"3PM",2014-07-29,"вторник","1.018kwh"
"10AM",2014-09-11,"четверг","0.235kwh"
"3AM",2014-10-21,"вторник","0.132kwh"
"4PM",2014-03-28,"пятница","40.32kwh"
"5AM",2014-02-06,"четверг","1.109kwh"
"10AM",2014-09-21,"воскресенье","0.399kwh"
"7AM",2014-10-28,"вторник","0.594kwh"
"3AM",2014-07-27,"воскресенье","0.842kwh"
"4AM",2014-03-04,"вторник","0.176kwh"
"6PM",2014-09-20,"суббота","1.021kwh"
"6PM",2014-10-11,"суббота","1.156kwh"
"11PM",2014-10-30,"четверг","0.324kwh"
"8AM",2014-07-02,"среда","40.97kwh"
"1PM",2014-04-08,"вторник","0.108kwh"
"7PM",2014-09-24,"среда","1.361kwh"
"6PM",2014-10-13,"понедельник","0.983kwh"
"11AM",2014-12-18,"четверг","0.484kwh"
"2AM",2014-06-11,"среда","0.396kwh"
"6AM",2014-10-13,"понедельник","0.806kwh"
"11AM",2014-04-22,"вторник","0.125kwh"
"8PM",2014-09-18,"четверг","1.322kwh"
"5PM",2014-12-28,"воскресенье","1.059kwh"
"2AM",2014-03-21,"пятница","0.186kwh"
"7PM",2014-09-22,"понедельник","1.424kwh"
"4PM",2014-03-31,"понедельник","0.278kwh"
"2AM",2014-05-28,"среда","0.179kwh"
"7PM",2014-05-11,"воскресенье","1.325kwh"
"12PM",2014-02-10,"понедельник","0.648kwh"
"7AM",2014-09-30,"вторник","0.737kwh"
"6AM",2014-09-14,"воскресенье","0.526kwh"
"3PM",2014-03-06,"четверг","0.365kwh"
"3AM",2014-10-06,"понедельник","0.113kwh"
"2AM",2014-07-21,"понедельник","0.422kwh"
"10AM",2014-02-19,"среда","0.442kwh"
"12PM",2014-04-27,"воскресенье","0.169kwh"
"12PM",2014-10-27,"понедельник","0.336kwh"
"9PM",2014-04-17,"четверг","0.166kwh"
"1AM",2014-04-14,"понедельник","0.053kwh"
"3AM",2014-07-25,"пятница","0.422kwh"
"7AM",2014-07-13,"воскресенье","2.707kwh"
"6PM",2014-01-19,"воскресенье","42.88kwh"
"8PM",2014-07-15,"вторник","3.456kwh"
"11AM",2014-10-31,"пятница","0.327kwh"
"7PM",2014-08-01,"пятница","2.462kwh"
"7PM",2014-03-12,"среда","1.598kwh"
"4AM",2014-02-16,"воскресенье","0.328kwh"
"7AM",2014-04-29,"вторник","40.24kwh"
"1PM",2014-10-10,"пятница","0.276kwh"
"4AM",2014-07-10,"четверг","0.437kwh"
"6AM",2014-12-10,"среда","1.386kwh"
"6PM",2014-09-24,"среда","0.794kwh"
"4PM",2014-04-10,"четверг","0.104kwh"
"9PM",2014-05-15,"четверг","0.528kwh"
"9AM",2014-09-30,"вторник","0.216kwh"
"9PM",2014-07-03,"четверг","1.397kwh"
"9AM",2014-09-24,"среда","0.221kwh"
"3PM",2014-10-26,"воскресенье","0.616kwh"
"8AM",2014-04-06,"воскресенье","0.312kwh"
"4AM",2014-03-26,"среда","0.163kwh"
"1AM",2014-07-21,"понедельник","0.389kwh"
"6AM",2014-01-02,"четверг","2.256kwh"
"2PM",2014-08-18,"понедельник","40.49kwh"
"4PM",2014-07-14,"понедельник","40.95kwh"
"5AM",2014-02-24,"понедельник","1.465kwh"
"3AM",2014-07-12,"суббота","0.842kwh"
"2PM",2014-06-26,"четверг","0.576kwh"
"6PM",2014-01-02,"четверг","2.352kwh"
"8AM",2014-09-25,"четверг","0.294kwh"
"12PM",2014-12-15,"понедельник","0.451kwh"
"7AM",2014-10-23,"четверг","0.491kwh"
"6AM",2014-04-17,"четверг","0.338kwh"
"12AM",2014-03-19,"среда","0.259kwh"
"2AM",2014-04-04,"пятница","40.05kwh"
"12PM",2014-03-26,"среда","40.34kwh"
"10AM",2014-03-05,"среда","0.291kwh"
"3AM",2014-09-18,"четверг","0.144kwh"
"9PM",2014-07-09,"среда","41.21kwh"
"4AM",2014-10-19,"воскресенье","0.189kwh"
"11AM",2014-08-04,"понедельник","0.708kwh"
"10AM",2014-07-21,"понедельник","40.95kwh"
"8AM",2014-03-27,"четверг","0.291kwh"
"3AM",2014-09-20,"суббота","0.172kwh"
"6AM",2014-08-22,"пятница","1.656kwh"
"9PM",2014-04-24,"четверг","0.203kwh"
"7PM",2014-05-31,"суббота","1.339kwh"
"5AM",2014-06-14,"суббота","0.589kwh"
"8AM",2014-07-22,"вторник","0.806kwh"
"9AM",2014-05-17,"суббота","0.626kwh"
"5PM",2014-10-27,"понедельник","0.686kwh"
"3PM",2014-04-15,"вторник","0.127kwh"
"2PM",2014-11-09,"воскресенье","0.403kwh"
"12PM",2014-07-21,"понедельник","41.32kwh"
"9PM",2014-08-16,"суббота","0.461kwh"
"4PM",2014-08-14,"четверг","0.389kwh"
"1PM",2014-01-11,"суббота","41.08kwh"
"8PM",2014-04-02,"среда","0.528kwh"
"9AM",2014-02-28,"пятница","0.421kwh"
"3AM",2014-03-19,"среда","0.171kwh"
"3AM",2014-01-29,"среда","0.336kwh"
"6AM",2014-08-23,"суббота","1.114kwh"
"8PM",2014-06-12,"четверг","2.765kwh"
"10AM",2014-05-07,"среда","0.358kwh"
"9PM",2014-01-22,"среда","41.20kwh"
"4PM",2014-10-18,"суббота","0.486kwh"
"7PM",2014-01-16,"четверг","4.068kwh"
"9AM",2014-01-12,"воскресенье","1.566kwh"
"3PM",2014-01-20,"понедельник","40.84kwh"
"3AM",2014-01-15,"среда","0.348kwh"
"12AM",2014-04-12,"суббота","40.24kwh"
"2AM",2014-03-12,"среда","0.152kwh"
"8PM",2014-12-02,"вторник","1.654kwh"
"4PM",2014-02-04,"вторник","40.48kwh"
"8PM",2014-03-10,"понедельник","1.293kwh"
"4AM",2014-12-17,"среда","0.242kwh"
"9PM",2014-12-30,"вторник","0.733kwh"
"1PM",2014-02-05,"среда","0.528kwh"
"8PM",2014-04-25,"пятница","40.48kwh"
"1PM",2014-12-22,"понедельник","0.387kwh"
"9PM",2014-10-20,"понедельник","0.374kwh"
"6PM",2014-12-04,"четверг","1.617kwh"
"8PM",2014-08-17,"воскресенье","1.901kwh"
"2AM",2014-11-20,"четверг","0.072kwh"
"1AM",2014-06-18,"среда","0.378kwh"
"1PM",2014-05-26,"понедельник","0.298kwh"
"5AM",2014-02-13,"четверг","1.307kwh"
"5AM",2014-12-07,"воскресенье","0.393kwh"
"3PM",2014-01-21,"вторник","0.648kwh"
"6PM",2014-11-12,"среда","0.674kwh"
"5PM",2014-10-15,"среда","0.632kwh"
"7PM",2014-01-18,"суббота","43.24kwh"
"11PM",2014-10-19,"воскресенье","0.309kwh"
"2AM",2014-02-15,"суббота","0.349kwh"
"11AM",2014-09-22,"понедельник","0.315kwh"
"8AM",2014-11-27,"четверг","0.211kwh"
"8AM",2014-08-30,"суббота","1.841kwh"
"3AM",2014-03-29,"суббота","0.221kwh"
"7PM",2014-01-24,"пятница","4.212kwh"
"11AM",2014-02-21,"пятница","0.516kwh"
"1PM",2014-04-07,"понедельник","0.098kwh"
"11PM",2014-03-16,"воскресенье","0.384kwh"
"10AM",2014-07-23,"среда","1.066kwh"
"7PM",2014-12-13,"суббота","41.94kwh"
"9PM",2014-04-13,"воскресенье","0.202kwh"
"12AM",2014-04-21,"понедельник","40.10kwh"
"5PM",2014-07-24,"четверг","43.65kwh"
"10AM",2014-06-22,"воскресенье","1.188kwh"
"1PM",2014-08-21,"четверг","0.571kwh"
"2AM",2014-09-25,"четверг","0.133kwh"
"4PM",2014-06-16,"понедельник","0.785kwh"
"1AM",2014-04-04,"пятница","0.051kwh"
"10AM",2014-03-27,"четверг","0.278kwh"
"10PM",2014-04-10,"четверг","0.131kwh"
"1AM",2014-07-31,"четверг","0.413kwh"
"11PM",2014-04-07,"понедельник","0.171kwh"
"11PM",2014-02-26,"среда","0.582kwh"
"6PM",2014-12-13,"суббота","2.277kwh"
"5AM",2014-03-27,"четверг","0.959kwh"
"1PM",2014-11-11,"вторник","40.20kwh"
"8PM",2014-05-16,"пятница","1.421kwh"
"5PM",2014-11-29,"суббота","0.462kwh"
"6PM",2014-06-17,"вторник","2.974kwh"
"4AM",2014-03-21,"пятница","0.163kwh"
"2AM",2014-01-30,"четверг","40.44kwh"
"12AM",2014-09-22,"понедельник","0.185kwh"
"10PM",2014-08-13,"среда","0.606kwh"
"4AM",2014-03-11,"вторник","0.165kwh"
"5PM",2014-05-30,"пятница","1.071kwh"
"3PM",2014-08-30,"суббота","1.285kwh"
"1AM",2014-09-16,"вторник","0.141kwh"
"8PM",2014-05-11,"воскресенье","1.411kwh"
"10PM",2014-06-23,"понедельник","40.72kwh"
"12AM",2014-11-20,"четверг","0.158kwh"
"3PM",2014-03-05,"среда","0.256kwh"
"9AM",2014-04-25,"пятница","0.081kwh"
"9PM",2014-02-15,"суббота","0.562kwh"
"9PM",2014-12-15,"понедельник","40.70kwh"
"2PM",2014-10-22,"среда","0.216kwh"
"5AM",2014-06-10,"вторник","2.277kwh"
"2PM",2014-03-28,"пятница","0.342kwh"
"9PM",2014-02-25,"вторник","40.67kwh"
"5PM",2014-08-14,"четверг","1.248kwh"
"4AM",2014-04-30,"среда","0.055kwh"
"2PM",2014-07-15,"вторник","1.114kwh"
"9AM",2014-11-26,"среда","0.136kwh"
"9PM",2014-06-18,"среда","1.274kwh"
"12AM",2014-10-12,"воскресенье","0.485kwh"
"4AM",2014-05-28,"среда","0.176kwh"
"9AM",2014-02-18,"вторник","40.36kwh"
"2AM",2014-03-16,"воскресенье","0.204kwh"
"3AM",2014-05-09,"пятница","0.174kwh"
"3AM",2014-08-13,"среда","0.209kwh"
"4AM",2014-10-22,"среда","0.142kwh"
"5AM",2014-03-18,"вторник","0.942kwh"
"12AM",2014-03-27,"четверг","0.271kwh"
"10AM",2014-11-24,"понедельник","0.144kwh"
"10PM",2014-11-19,"среда","0.182kwh"
"12AM",2014-10-28,"вторник","40.18kwh"
"2PM",2014-10-23,"четверг","0.262kwh"
"3AM",2014-01-24,"пятница","0.424kwh"
"9PM",2014-08-22,"пятница","0.384kwh"
"9PM",2014-01-10,"пятница","0.864kwh"
"12PM",2014-10-10,"пятница","0.255kwh"
"8PM",2014-01-29,"среда","3.552kwh"
"11AM",2014-11-22,"суббота","0.227kwh"
"10PM",2014-07-23,"среда","1.068kwh"
"3PM",2014-03-19,"среда","0.358kwh"
"8AM",2014-07-14,"понедельник","40.95kwh"
"11AM",2014-06-28,"суббота","1.156kwh"
"7AM",2014-04-21,"понедельник","40.23kwh"
"9AM",2014-11-19,"среда","0.127kwh"
"12PM",2014-09-26,"пятница","0.326kwh"
"12PM",2014-09-13,"суббота","0.445kwh"
"11AM",2014-07-21,"понедельник","41.26kwh"
"11PM",2014-11-30,"воскресенье","0.266kwh"
"8PM",2014-02-20,"четверг","1.613kwh"
"6AM",2014-01-13,"понедельник","2.136kwh"
"2AM",2014-05-11,"воскресенье","0.266kwh"
"3PM",2014-07-09,"среда","1.056kwh"
"10AM",2014-05-16,"пятница","0.326kwh"
"5PM",2014-09-02,"вторник","0.792kwh"
"12AM",2014-05-12,"понедельник","0.226kwh"
"9AM",2014-05-21,"среда","40.25kwh"
"8AM",2014-11-28,"пятница","40.20kwh"
"3AM",2014-01-21,"вторник","0.412kwh"
"7AM",2014-08-20,"среда","0.983kwh"
"2PM",2014-04-08,"вторник","0.122kwh"
"10PM",2014-01-28,"вторник","41.19kwh"
"1AM",2014-08-02,"суббота","0.335kwh"
"12PM",2014-10-14,"вторник","0.345kwh"
"1AM",2014-03-30,"воскресенье","0.245kwh"
"3AM",2014-07-28,"понедельник","0.389kwh"
"9AM",2014-05-11,"воскресенье","0.842kwh"
"6AM",2014-10-28,"вторник","0.814kwh"
"2AM",2014-12-28,"воскресенье","40.33kwh"
"11PM",2014-12-01,"понедельник","40.60kwh"
"10PM",2014-09-13,"суббота","0.333kwh"
"7PM",2014-10-25,"суббота","41.22kwh"
"7AM",2014-03-10,"понедельник","0.576kwh"
"8PM",2014-07-17,"четверг","4.339kwh"
"12PM",2014-12-17,"среда","0.605kwh"
"6PM",2014-11-19,"среда","0.536kwh"
"8AM",2014-06-29,"воскресенье","2.621kwh"
"4AM",2014-11-11,"вторник","0.082kwh"
"9PM",2014-12-21,"воскресенье","0.733kwh"
"5AM",2014-08-31,"воскресенье","0.295kwh"
"9PM",2014-08-14,"четверг","0.821kwh"
"1PM",2014-07-22,"вторник","1.075kwh"
"8PM",2014-03-24,"понедельник","1.178kwh"
"12AM",2014-08-15,"пятница","0.324kwh"
"10PM",2014-01-20,"понедельник","40.84kwh"
"1AM",2014-08-11,"понедельник","0.252kwh"
"8AM",2014-11-20,"четверг","0.171kwh"
"8PM",2014-05-20,"вторник","1.472kwh"
"4AM",2014-06-24,"вторник","40.41kwh"
"2AM",2014-09-19,"пятница","0.118kwh"
"9PM",2014-06-21,"суббота","0.864kwh"
"7PM",2014-06-23,"понедельник","2.786kwh"
"12PM",2014-06-09,"понедельник","0.873kwh"
"7AM",2014-03-30,"воскресенье","1.056kwh"
"11AM",2014-03-04,"вторник","0.476kwh"
"2PM",2014-01-07,"вторник","0.752kwh"
"10AM",2014-08-13,"среда","0.446kwh"
"1AM",2014-11-22,"суббота","0.159kwh"
"1PM",2014-05-12,"понедельник","0.371kwh"
"3AM",2014-09-29,"понедельник","0.154kwh"
"6PM",2014-09-13,"суббота","1.273kwh"
"2PM",2014-12-29,"понедельник","0.444kwh"
"1AM",2014-07-23,"среда","0.538kwh"
"9AM",2014-11-24,"понедельник","0.131kwh"
"7PM",2014-02-23,"воскресенье","1.944kwh"
"11PM",2014-10-27,"понедельник","0.354kwh"
"12AM",2014-01-21,"вторник","0.702kwh"
"4PM",2014-12-27,"суббота","0.861kwh"
"3PM",2014-12-24,"среда","0.502kwh"
"12AM",2014-04-03,"четверг","0.103kwh"
"6AM",2014-10-14,"вторник","0.662kwh"
"7PM",2014-01-17,"пятница","3.816kwh"
"3AM",2014-08-21,"четверг","0.209kwh"
"3PM",2014-01-05,"воскресенье","41.80kwh"
"2AM",2014-05-19,"понедельник","0.166kwh"
"11PM",2014-09-24,"среда","0.298kwh"
"1PM",2014-12-28,"воскресенье","0.779kwh"
"4PM",2014-01-31,"пятница","0.784kwh"
"7AM",2014-04-23,"среда","0.219kwh"
"4PM",2014-09-13,"суббота","0.718kwh"
"1AM",2014-08-26,"вторник","0.254kwh"
"1AM",2014-06-25,"среда","0.313kwh"
"5PM",2014-05-10,"суббота","0.576kwh"
"11PM",2014-12-20,"суббота","1.111kwh"
"8PM",2014-01-12,"воскресенье","3.132kwh"
"2AM",2014-02-14,"пятница","0.288kwh"
"10AM",2014-03-30,"воскресенье","0.528kwh"
"2PM",2014-03-19,"среда","0.307kwh"
"11AM",2014-08-10,"воскресенье","0.583kwh"
"11AM",2014-07-13,"воскресенье","1.728kwh"
"6AM",2014-09-15,"понедельник","1.008kwh"
"10PM",2014-07-20,"воскресенье","1.356kwh"
"4AM",2014-04-15,"вторник","0.056kwh"
"9PM",2014-10-24,"пятница","0.259kwh"
"9PM",2014-07-07,"понедельник","1.426kwh"
"6AM",2014-02-25,"вторник","1.469kwh"
"3AM",2014-08-26,"вторник","0.216kwh"
"1AM",2014-01-15,"среда","0.456kwh"
"6PM",2014-09-14,"воскресенье","1.235kwh"
"11AM",2014-06-11,"среда","1.044kwh"
"7PM",2014-09-15,"понедельник","1.109kwh"
"9PM",2014-09-20,"суббота","0.244kwh"
"9PM",2014-09-25,"четверг","0.504kwh"
"10AM",2014-02-27,"четверг","0.466kwh"
"9PM",2014-08-28,"четверг","0.655kwh"
"2PM",2014-11-29,"суббота","0.414kwh"
"3PM",2014-12-01,"понедельник","0.374kwh"
"1PM",2014-08-17,"воскресенье","40.77kwh"
"5PM",2014-05-22,"четверг","1.206kwh"
"9AM",2014-08-18,"понедельник","40.40kwh"
"2PM",2014-12-18,"четверг","0.431kwh"
"8AM",2014-11-13,"четверг","0.205kwh"
"2PM",2014-07-04,"пятница","0.816kwh"
"7AM",2014-10-09,"четверг","0.637kwh"
"7AM",2014-11-29,"суббота","0.459kwh"
"9PM",2014-07-22,"вторник","41.67kwh"
"8PM",2014-11-15,"суббота","0.875kwh"
"7AM",2014-01-28,"вторник","42.07kwh"
"3PM",2014-11-30,"воскресенье","40.47kwh"
"5AM",2014-05-21,"среда","0.906kwh"
"3PM",2014-05-11,"воскресенье","0.742kwh"
"2PM",2014-12-08,"понедельник","0.449kwh"
"9PM",2014-12-16,"вторник","0.719kwh"
"12AM",2014-11-26,"среда","0.146kwh"
"3AM",2014-06-28,"суббота","0.508kwh"
"2PM",2014-05-12,"понедельник","0.275kwh"
"6AM",2014-05-30,"пятница","1.114kwh"
"2PM",2014-05-18,"воскресенье","0.525kwh"
"9AM",2014-03-11,"вторник","0.286kwh"
"12AM",2014-08-18,"понедельник","0.338kwh"
"9PM",2014-11-16,"воскресенье","0.238kwh"
"12AM",2014-09-18,"четверг","0.174kwh"
"12PM",2014-04-26,"суббота","40.20kwh"
"11AM",2014-06-01,"воскресенье","0.918kwh"
"10PM",2014-10-30,"четверг","0.282kwh"
"6PM",2014-11-27,"четверг","40.63kwh"
"9PM",2014-10-11,"суббота","0.264kwh"
"7PM",2014-11-28,"пятница","0.689kwh"
"8PM",2014-09-19,"пятница","1.075kwh"
"5AM",2014-01-23,"четверг","2.178kwh"
"10AM",2014-01-26,"воскресенье","1.308kwh"
"12PM",2014-10-29,"среда","0.297kwh"
"6AM",2014-07-21,"понедельник","2.621kwh"
"9PM",2014-05-19,"понедельник","0.518kwh"
"5AM",2014-07-06,"воскресенье","0.763kwh"
"4PM",2014-03-11,"вторник","0.336kwh"
"3PM",2014-09-20,"суббота","0.693kwh"
"9PM",2014-03-05,"среда","0.552kwh"
"12AM",2014-07-13,"воскресенье","2.227kwh"
"8AM",2014-07-12,"суббота","3.494kwh"
"5AM",2014-10-10,"пятница","0.535kwh"
"8AM",2014-11-18,"вторник","0.212kwh"
"6AM",2014-04-24,"четверг","0.356kwh"
"3AM",2014-04-16,"среда","0.061kwh"
"2PM",2014-07-03,"четверг","1.085kwh"
"4PM",2014-09-24,"среда","0.235kwh"
"2AM",2014-06-19,"четверг","0.295kwh"
"10PM",2014-07-29,"вторник","1.152kwh"
"5PM",2014-01-13,"понедельник","2.704kwh"
"8AM",2014-02-21,"пятница","0.509kwh"
"12PM",2014-02-04,"вторник","40.60kwh"
"3PM",2014-08-12,"вторник","0.494kwh"
"7PM",2014-11-21,"пятница","0.948kwh"
"9AM",2014-06-15,"воскресенье","1.588kwh"
"12AM",2014-06-23,"понедельник","40.54kwh"
"7PM",2014-04-25,"пятница","0.589kwh"
"8AM",2014-08-06,"среда","0.418kwh"
"2AM",2014-08-16,"суббота","0.356kwh"
"4AM",2014-11-14,"пятница","0.079kwh"
"7AM",2014-02-20,"четверг","0.896kwh"
"8PM",2014-07-24,"четверг","4.493kwh"
"7PM",2014-09-08,"понедельник","1.046kwh"
"10PM",2014-07-30,"среда","1.224kwh"
"9PM",2014-11-17,"понедельник","40.23kwh"
"11PM",2014-10-13,"понедельник","0.309kwh"
"6AM",2014-01-16,"четверг","2.808kwh"
"11PM",2014-11-10,"понедельник","40.18kwh"
"5AM",2014-03-16,"воскресенье","0.228kwh"
"10PM",2014-01-15,"среда","40.90kwh"
"6PM",2014-03-13,"четверг","0.941kwh"
"12AM",2014-04-16,"среда","0.098kwh"
"7PM",2014-12-29,"понедельник","2.178kwh"
"4AM",2014-06-19,"четверг","40.32kwh"
"11AM",2014-08-18,"понедельник","0.522kwh"
"7AM",2014-11-12,"среда","0.474kwh"
"4PM",2014-04-27,"воскресенье","0.294kwh"
"3PM",2014-05-14,"среда","0.262kwh"
"11AM",2014-04-13,"воскресенье","0.189kwh"
"6PM",2014-05-30,"пятница","1.053kwh"
"1AM",2014-01-28,"вторник","0.468kwh"
"3PM",2014-01-03,"пятница","0.672kwh"
"6AM",2014-12-13,"суббота","0.959kwh"
"9PM",2014-05-18,"воскресенье","0.461kwh"
"11AM",2014-08-24,"воскресенье","0.763kwh"
"11PM",2014-02-17,"понедельник","0.594kwh"
"8AM",2014-02-18,"вторник","0.514kwh"
"10PM",2014-05-01,"четверг","0.416kwh"
"6PM",2014-08-27,"среда","1.344kwh"
"11PM",2014-01-13,"понедельник","41.19kwh"
"10PM",2014-12-28,"воскресенье","0.594kwh"
"1PM",2014-08-15,"пятница","0.413kwh"
"1PM",2014-07-23,"среда","0.941kwh"
"6AM",2014-02-17,"понедельник","1.584kwh"
"2AM",2014-08-31,"воскресенье","0.367kwh"
"11AM",2014-09-20,"суббота","0.441kwh"
"7PM",2014-10-26,"воскресенье","1.166kwh"
"1AM",2014-07-08,"вторник","0.538kwh"
"11PM",2014-04-14,"понедельник","0.176kwh"
"2PM",2014-11-20,"четверг","0.151kwh"
"12PM",2014-05-21,"среда","0.468kwh"
"7PM",2014-07-31,"четверг","3.974kwh"
"4PM",2014-07-20,"воскресенье","42.29kwh"
"1PM",2014-03-18,"вторник","0.288kwh"
"12PM",2014-05-05,"понедельник","0.464kwh"
"10AM",2014-02-03,"понедельник","0.475kwh"
"4PM",2014-02-16,"воскресенье","1.145kwh"
"11AM",2014-03-31,"понедельник","0.404kwh"
"9PM",2014-11-25,"вторник","0.294kwh"
"8PM",2014-09-06,"суббота","1.386kwh"
"8AM",2014-09-24,"среда","0.274kwh"
"7PM",2014-11-20,"четверг","0.794kwh"
"10PM",2014-02-21,"пятница","0.756kwh"
"7PM",2014-07-03,"четверг","4.061kwh"
"12PM",2014-08-17,"воскресенье","0.799kwh"
"2PM",2014-06-13,"пятница","0.706kwh"
"9PM",2014-05-22,"четверг","0.456kwh"
"6AM",2014-05-31,"суббота","0.768kwh"
"12PM",2014-04-21,"понедельник","40.18kwh"
"6AM",2014-06-23,"понедельник","2.009kwh"
"5PM",2014-05-12,"понедельник","1.123kwh"
"10AM",2014-07-13,"воскресенье","41.31kwh"
"8AM",2014-04-30,"среда","0.121kwh"
"2PM",2014-08-29,"пятница","0.418kwh"
"12AM",2014-04-29,"вторник","40.10kwh"
"4PM",2014-11-14,"пятница","0.157kwh"
"11AM",2014-11-26,"среда","40.18kwh"
"3PM",2014-05-21,"среда","40.32kwh"
"7AM",2014-11-20,"четверг","0.478kwh"
"8PM",2014-10-18,"суббота","0.929kwh"
"9PM",2014-07-29,"вторник","1.397kwh"
"6PM",2014-03-04,"вторник","1.154kwh"
"10PM",2014-12-26,"пятница","0.701kwh"
"11PM",2014-04-28,"понедельник","0.168kwh"
"12PM",2014-02-19,"среда","0.672kwh"
"11PM",2014-05-17,"суббота","0.784kwh"
"5AM",2014-08-11,"понедельник","1.373kwh"
"5PM",2014-10-19,"воскресенье","0.518kwh"
"11AM",2014-12-27,"суббота","0.607kwh"
"11AM",2014-06-13,"пятница","0.891kwh"
"11PM",2014-09-14,"воскресенье","0.354kwh"
"8AM",2014-11-07,"пятница","0.169kwh"
"7AM",2014-05-23,"пятница","40.85kwh"
"6AM",2014-02-10,"понедельник","1.267kwh"
"8PM",2014-12-14,"воскресенье","1.683kwh"
"5AM",2014-09-18,"четверг","0.739kwh"
"9AM",2014-12-09,"вторник","0.353kwh"
"10AM",2014-10-19,"воскресенье","0.331kwh"
"4AM",2014-12-08,"понедельник","0.213kwh"
"9PM",2014-03-28,"пятница","0.294kwh"
"4AM",2014-12-06,"суббота","0.274kwh"
"5AM",2014-09-14,"воскресенье","0.239kwh"
"11AM",2014-12-15,"понедельник","0.462kwh"
"3PM",2014-09-12,"пятница","0.328kwh"
"1PM",2014-03-13,"четверг","0.371kwh"
"2AM",2014-10-22,"среда","0.116kwh"
"8PM",2014-10-14,"вторник","0.768kwh"
"1AM",2014-06-10,"вторник","0.338kwh"
"1PM",2014-12-31,"среда","0.524kwh"
"1AM",2014-01-11,"суббота","0.624kwh"
"2PM",2014-03-25,"вторник","0.339kwh"
"12PM",2014-12-25,"четверг","0.589kwh"
"8AM",2014-06-20,"пятница","0.605kwh"
"6PM",2014-04-24,"четверг","0.374kwh"
"2AM",2014-07-25,"пятница","0.394kwh"
"7PM",2014-04-14,"понедельник","0.529kwh"
"1AM",2014-07-20,"воскресенье","0.698kwh"
"8AM",2014-12-17,"среда","0.431kwh"
"2AM",2014-08-21,"четверг","0.235kwh"
"10PM",2014-01-14,"вторник","40.95kwh"
"5PM",2014-11-05,"среда","40.69kwh"
"1PM",2014-07-17,"четверг","0.998kwh"
"1AM",2014-08-20,"среда","0.278kwh"
"2AM",2014-07-31,"четверг","0.389kwh"
"5AM",2014-09-15,"понедельник","0.724kwh"
"3PM",2014-09-17,"среда","0.232kwh"
"7PM",2014-08-21,"четверг","1.728kwh"
"7PM",2014-01-30,"четверг","3.276kwh"
"12AM",2014-08-26,"вторник","0.418kwh"
"12AM",2014-08-22,"пятница","0.335kwh"
"2PM",2014-08-16,"суббота","0.893kwh"
"10PM",2014-09-24,"среда","0.319kwh"
"4AM",2014-08-21,"четверг","0.252kwh"
"9AM",2014-10-27,"понедельник","0.157kwh"
"1AM",2014-01-07,"вторник","0.368kwh"
"8AM",2014-01-12,"воскресенье","42.73kwh"
"6PM",2014-01-18,"суббота","3.816kwh"
"2AM",2014-12-14,"воскресенье","0.327kwh"
"8PM",2014-12-21,"воскресенье","41.94kwh"
"1PM",2014-07-16,"среда","0.826kwh"
"5PM",2014-07-01,"вторник","3.557kwh"
"2PM",2014-06-30,"понедельник","0.734kwh"
"5AM",2014-06-21,"суббота","0.491kwh"
"6PM",2014-05-01,"четверг","1.086kwh"
"9AM",2014-07-06,"воскресенье","2.052kwh"
"11AM",2014-05-19,"понедельник","40.34kwh"
"11AM",2014-05-12,"понедельник","40.34kwh"
"12PM",2014-02-18,"вторник","0.576kwh"
"4AM",2014-10-12,"воскресенье","0.216kwh"
